Distrito,m2,PrecioMedio
Arganzuela,4.476,375.78
Barajas,3.497,387.492
Carabanchel,2.557,198.717
Centro,6.697,690.44
Chamartin,5.909,863.718
Chamberi,6.319,809.724
Ciudad Lineal,3.511,333.254
Fuencarral,4.106,464.896
Hortaleza,4.173,471.054
Latina,2.755,213.898
Moncloa,4.819,639.086
Moratalaz,2.866,247.599
Puente de Vallecas,2.357,167.743
Retiro,5.356,639.893
Salamanca,7.736,923.56
San Blas,2.976,253.028
Tetuan,4.784,559.263
Usera,2.569,215.244
Vicalvaro,2.771,252.874
Villa de Vallecas,2.791,233.758
Villaverde,1.952,145.308
